cid,region_type,region_id,regionNum,o_start_time,o_end_time,d_start_time,d_end_time,o_during,d_during,v_value,s_value,c_value,o_set_len,d_set_len
0,type_O,2,4,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_O,4,4,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_O,6,4,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_O,7,4,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_D,9,5,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_D,10,5,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_D,12,5,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_D,14,5,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
0,type_D,15,5,2018-01-01,2018-01-27,2018-01-01,2018-01-27,27,27,0.00106,10.35613,0.10477,4,5
1,type_O,8,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_O,9,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_O,10,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_O,42,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_O,12,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_O,13,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_O,14,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_O,15,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,2,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,3,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,4,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,5,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,6,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,7,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,11,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,14,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,15,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,16,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,17,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
1,type_D,50,12,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00409,12.15184,0.22294,8,12
3,type_O,2,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,3,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,4,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,5,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,6,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,7,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,11,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,16,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_O,17,9,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_D,8,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_D,9,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
3,type_D,10,8,2018-01-01,2018-12-30,2018-01-01,2018-12-30,364,364,0.00384,15.82699,0.24653,9,8
