cid,region_type,region_id,regionNum,o_start_time,o_end_time,d_start_time,d_end_time,o_during,d_during,v_value,s_value,c_value,o_set_len,d_set_len
0,type_O,24,3,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,type_O,20,3,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,type_O,14,3,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,type_D,16,4,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,type_D,17,4,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,type_D,27,4,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,type_D,23,4,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
1,type_O,12,3,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
1,type_O,4,3,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
1,type_O,7,3,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
1,type_D,29,2,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
1,type_D,30,2,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
